Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Attachment,Custom field (Atlassian Project),Custom field (Atlassian project),Custom field (Atlassian project status),Custom field (Comments),Custom field (Delivery progress),Custom field (Delivery status),Custom field (Design file),Custom field (Designs ready),Custom field (Development),Custom field (Documents),Custom field (Effort),Custom field (Goals),Custom field (Idea archived),Custom field (Idea archived on),Custom field (Idea short description),Custom field (Impact),Custom field (Insights),Custom field (Issue color),Custom field (Linked items),Custom field (Project start),Custom field (Project target),Custom field (Rank),Custom field (Roadmap),Custom field (Score),Sprint,Custom field (Start date),Custom field (State),Custom field (Story point estimate),Custom field (Team),Custom field (Vulnerability),Custom field (Vulnerability),Parent,Parent key,Parent summary,Status category,Status category changed
AI Architecture,SCRUM-15,10016,Epic,To Do,SCRUM,Atlas,software,Ishan Gupta,62db88f437366f100e68c3fd,,,,,,Ishan Gupta,62db88f437366f100e68c3fd,Ishan Gupta,62db88f437366f100e68c3fd,23/Aug/26 10:36 AM,23/Aug/26 10:36 AM,,,,0,,,,,,0,0,0,,0,0,0,,,,,,,,,,,{},,,,,,,,,,,,,0|i0003j:,,,,,,,,,,,,,To Do,
Roadmap/Resources,SCRUM-14,10011,Epic,To Do,SCRUM,Atlas,software,Ishan Gupta,62db88f437366f100e68c3fd,,,,,,Ishan Gupta,62db88f437366f100e68c3fd,Ishan Gupta,62db88f437366f100e68c3fd,23/Aug/26 10:36 AM,23/Aug/26 10:36 AM,,,,0,,,,,,0,0,0,,0,0,0,,,,,,,,,,,{},,,,,,,,,,,,,0|i0002f:,,,,,,,,,,,,,To Do,
Rescheduling/Recovery,SCRUM-13,10015,Epic,To Do,SCRUM,Atlas,software,Ishan Gupta,62db88f437366f100e68c3fd,,,,,,Ishan Gupta,62db88f437366f100e68c3fd,Ishan Gupta,62db88f437366f100e68c3fd,23/Aug/26 10:36 AM,23/Aug/26 10:36 AM,,,,0,,,,,,0,0,0,,0,0,0,,,,,,,,,,,{},,,,,,,,,,,,,0|i0003b:,,,,,,,,,,,,,To Do,
Execution/Focus,SCRUM-12,10007,Epic,To Do,SCRUM,Atlas,software,Ishan Gupta,62db88f437366f100e68c3fd,,,,,,Ishan Gupta,62db88f437366f100e68c3fd,Ishan Gupta,62db88f437366f100e68c3fd,23/Aug/26 10:36 AM,23/Aug/26 10:36 AM,,,,0,,,,,,0,0,0,,0,0,0,,,,,,,,,,,{},,,,,,,,,,,,,0|i0001j:,,,,,,,,,,,,,To Do,
UI Remaining,SCRUM-11,10013,Epic,To Do,SCRUM,Atlas,software,Ishan Gupta,62db88f437366f100e68c3fd,,,,,,Ishan Gupta,62db88f437366f100e68c3fd,Ishan Gupta,62db88f437366f100e68c3fd,23/Aug/26 10:36 AM,23/Aug/26 10:36 AM,,,,0,,,,,,0,0,0,,0,0,0,,,,,,,,,,,{},,,,,,,,,,,,,0|i0002v:,,,,,,,,,,,,,To Do,
UI Core,SCRUM-10,10010,Epic,To Do,SCRUM,Atlas,software,Ishan Gupta,62db88f437366f100e68c3fd,,,,,,Ishan Gupta,62db88f437366f100e68c3fd,Ishan Gupta,62db88f437366f100e68c3fd,23/Aug/26 10:36 AM,23/Aug/26 10:36 AM,,,,0,,,,,,0,0,0,,0,0,0,,,,,,,,,,,{},,,,,,,,,,,,,0|i00027:,,,,,,,,,,,,,To Do,
Scheduling Engine,SCRUM-9,10009,Epic,To Do,SCRUM,Atlas,software,Ishan Gupta,62db88f437366f100e68c3fd,,,,,,Ishan Gupta,62db88f437366f100e68c3fd,Ishan Gupta,62db88f437366f100e68c3fd,23/Aug/26 10:36 AM,23/Aug/26 10:36 AM,,,,0,,,,,,0,0,0,,0,0,0,,,,,,,,,,,{},,,,,,,,,,,,,0|i0001z:,,,,,,,,,,,,,To Do,
Event Log,SCRUM-8,10006,Epic,To Do,SCRUM,Atlas,software,Ishan Gupta,62db88f437366f100e68c3fd,,,,,,Ishan Gupta,62db88f437366f100e68c3fd,Ishan Gupta,62db88f437366f100e68c3fd,23/Aug/26 10:36 AM,23/Aug/26 10:36 AM,,,,0,,,,,,0,0,0,,0,0,0,,,,,,,,,,,{},,,,,,,,,,,,,0|i0001b:,,,,,,,,,,,,,To Do,
Domain Model,SCRUM-7,10005,Epic,To Do,SCRUM,Atlas,software,Ishan Gupta,62db88f437366f100e68c3fd,,,,,,Ishan Gupta,62db88f437366f100e68c3fd,Ishan Gupta,62db88f437366f100e68c3fd,23/Aug/26 10:36 AM,23/Aug/26 10:36 AM,,,,0,,,,,,0,0,0,,0,0,0,,,,,,,,,,,{},,,,,,,,,,,,,0|i00013:,,,,,,,,,,,,,To Do,
[FOUND-001] Repo & CI setup,SCRUM-20,10023,Story,Done,SCRUM,Atlas,software,Ishan Gupta,62db88f437366f100e68c3fd,,,Done,,,Ishan Gupta,62db88f437366f100e68c3fd,Ishan Gupta,62db88f437366f100e68c3fd,23/Aug/26 11:11 AM,14/Sep/26 5:47 PM,,14/Sep/26 5:47 PM,,0,infrastructure,"User story: As a developer, I want CI running on every push, so regressions are caught immediately | Acceptance criteria: Build+test pipeline green on empty scaffold; migration check wired | Source: `01` §5, `17` §7 | Size: S | Key sub-tasks: repo init; GitHub Actions config; Flyway scaffold | Original key: FOUND-001",,,,0,0,0,,0,0,0,,,,,,,,,,,{},,,,,,,,,,,,,0|i00053:,,,0,,,,,,,10012,SCRUM-6,Foundation,Done,14/Sep/26 5:47 PM
[OPS-005] Production deployment config,SCRUM-110,10109,Story,To Do,SCRUM,Atlas,software,Ishan Gupta,62db88f437366f100e68c3fd,,,,,,Ishan Gupta,62db88f437366f100e68c3fd,Ishan Gupta,62db88f437366f100e68c3fd,23/Aug/26 11:11 AM,23/Aug/26 12:41 PM,09/Sep/26 1:44 PM,,,0,infrastructure,"Acceptance criteria: Env config, migrations, secrets | Dependencies: OPS-001, OPS-002 | Source: `17` §5–7 | Size: M | Key sub-tasks: deployment scripts; secrets management | Original key: OPS-005",,,,0,0,0,,0,0,0,,,,,,,,,,,{},,,,,,,,,,,,,0|i000o7:,,,15,,,,,,,10008,SCRUM-19,Operations,To Do,
[OPS-004] Full test suite completion & CI gating,SCRUM-109,10088,Story,To Do,SCRUM,Atlas,software,Ishan Gupta,62db88f437366f100e68c3fd,,,,,,Ishan Gupta,62db88f437366f100e68c3fd,Ishan Gupta,62db88f437366f100e68c3fd,23/Aug/26 11:11 AM,23/Aug/26 12:41 PM,,,,0,testing;infrastructure,"Acceptance criteria: Every category in `16` green, CI blocks merge on failure | Dependencies: All stories | Source: `16` (all) | Size: XL | Key sub-tasks: test-gap audit; CI gate config | Original key: OPS-004",,,,0,0,0,,0,0,0,,,,,,,,,,,{},,,,,,,,,,,,,0|i000jj:,,,15,,,,,,,10008,SCRUM-19,Operations,To Do,
[OPS-003] AI retry/backoff/cost config finalization,SCRUM-108,10108,Story,To Do,SCRUM,Atlas,software,Ishan Gupta,62db88f437366f100e68c3fd,,,,,,Ishan Gupta,62db88f437366f100e68c3fd,Ishan Gupta,62db88f437366f100e68c3fd,23/Aug/26 11:11 AM,23/Aug/26 12:41 PM,,,,0,infrastructure;ai,Acceptance criteria: Operational tuning of AI-012's config | Dependencies: AI-012 | Source: `17` §3 | Size: S | Key sub-tasks: config finalization | Original key: OPS-003,,,,0,0,0,,0,0,0,,,,,,,,,,,{},,,,,,,,,,,,,0|i000nz:,,,15,,,,,,,10008,SCRUM-19,Operations,To Do,
[OPS-002] Health checks,SCRUM-107,10075,Story,To Do,SCRUM,Atlas,software,Ishan Gupta,62db88f437366f100e68c3fd,,,,,,Ishan Gupta,62db88f437366f100e68c3fd,Ishan Gupta,62db88f437366f100e68c3fd,23/Aug/26 11:11 AM,23/Aug/26 12:41 PM,,,,0,infrastructure,Acceptance criteria: Liveness/readiness endpoints | Dependencies: FOUND-001 | Source: `17` §8 | Size: S | Key sub-tasks: health endpoints | Original key: OPS-002,,,,0,0,0,,0,0,0,,,,,,,,,,,{},,,,,,,,,,,,,0|i000gn:,,,15,,,,,,,10008,SCRUM-19,Operations,To Do,
[OPS-001] Structured logging + correlation IDs,SCRUM-106,10074,Story,To Do,SCRUM,Atlas,software,Ishan Gupta,62db88f437366f100e68c3fd,,,,,,Ishan Gupta,62db88f437366f100e68c3fd,Ishan Gupta,62db88f437366f100e68c3fd,23/Aug/26 11:11 AM,23/Aug/26 12:40 PM,,,,0,infrastructure,Acceptance criteria: Traceable end-to-end per request | Dependencies: FOUND-001 | Source: `17` §1 | Size: M | Key sub-tasks: logging framework; correlation-ID propagation | Original key: OPS-001,,,,0,0,0,,0,0,0,,,,,,,,,,,{},,,,,,,,,,,,,0|i000gf:,,,15,,,,,,,10008,SCRUM-19,Operations,To Do,
[SEC-005] Idempotency key enforcement,SCRUM-105,10073,Story,To Do,SCRUM,Atlas,software,Ishan Gupta,62db88f437366f100e68c3fd,,,,,,Ishan Gupta,62db88f437366f100e68c3fd,Ishan Gupta,62db88f437366f100e68c3fd,23/Aug/26 11:11 AM,23/Aug/26 12:40 PM,,,,0,backend,"Acceptance criteria: Required header on scheduling-mutation endpoints | Dependencies: SCH-003, EXEC-001 | Source: `12` §1 (resolved), `13` §1 | Size: M | Key sub-tasks: idempotency_keys table; middleware | Original key: SEC-005",,,,0,0,0,,0,0,0,,,,,,,,,,,{},,,,,,,,,,,,,0|i000g7:,,,14,,,,,,,10018,SCRUM-18,Security,To Do,
[SEC-004] AI context minimization enforcement,SCRUM-104,10107,Story,To Do,SCRUM,Atlas,software,Ishan Gupta,62db88f437366f100e68c3fd,,,,,,Ishan Gupta,62db88f437366f100e68c3fd,Ishan Gupta,62db88f437366f100e68c3fd,23/Aug/26 11:11 AM,23/Aug/26 12:40 PM,,,,0,backend;security;ai,"Acceptance criteria: Outgoing AI requests audited for minimum-necessary context | Dependencies: AI-001 | Source: `15` §4, `07` §6 | Size: M | Key sub-tasks: context-payload audit | Original key: SEC-004",,,,0,0,0,,0,0,0,,,,,,,,,,,{},,,,,,,,,,,,,0|i000nr:,,,14,,,,,,,10018,SCRUM-18,Security,To Do,
